subject,body,sender,label
Monthly newsletter - Company updates,"Thank you for registering for TechConf 2026! Your registration has been confirmed. Event details: Date: March 15-17, Location: San Francisco Convention Center. Your confirmation number is TC-514461. View event schedule at https://www.techconf.com/schedule",newsletter@ourcompany.com,0
Exclusive offer: Act now before it expires!,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://secure-login.account-verify.64.xyz/auth This is your last chance. Don't delay!,security@0ffice365.co,1
Job posting: Senior Software Engineer,"Thank you for registering for TechConf 2026! Your registration has been confirmed. Event details: Date: March 15-17, Location: San Francisco Convention Center. Your confirmation number is TC-316122. View event schedule at https://www.techconf.com/schedule",hr@ourcompany.com,0
Reminder: Submit your timesheet by Friday,"Reminder: Please submit your timesheet for this week by Friday 5 PM. You can access the timesheet portal at https://hr.ourcompany.com/timesheet. If you have any issues, contact HR at hr@ourcompany.com. Thanks!",newsletter@ourcompany.com,0
Congratulations! You've won a $1000 gift card,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://portal.office365-security.lwq2vc2s.co/reset If you did not request this change, contact support immediately. Don't delay!",noreply@netfl1x-update.top,1
Your order has been shipped,"Hello everyone, I'm pleased to share the Q3 progress report. We've completed 87% of our planned deliverables and are on track to meet all major milestones. Key highlights include the successful launch of the new API, completion of database migration, and positive user feedback on the redesigned dashboard. Full report attached.",david.smith@ourcompany.com,0
New blog post: Best practices for code reviews,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",team@slack.com,0
URGENT: Your account has been compromised,"You have received a secure document from DocuSign. To view and sign the document, click here: http://portal.office365-security.p46rinms.co/reset This document requires your immediate attention and signature.",security@acc0unt-verify.com,1
Invitation: Annual company retreat,"New on our engineering blog: Best Practices for Code Reviews. In this post, we cover how to write constructive feedback, common pitfalls to avoid, and tools that can streamline your review process. Read the full article at https://www.ourcompany.com/blog/code-reviews",david.smith@ourcompany.com,0
Conference registration confirmation,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",noreply@github.com,0
Team lunch this Friday - RSVP,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",hr@ourcompany.com,0
Job posting: Senior Software Engineer,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",noreply@github.com,0
Conference registration confirmation,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",support@figma.com,0
Invoice #INV-39481 attached - payment overdue,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://bit.ly/xpl4muis Use code SAVE90 at checkout. Hurry, stocks are limited!",helpdesk@g00gle-alert.org,1
Meeting scheduled for Thursday at 2 PM,"Thank you for registering for TechConf 2026! Your registration has been confirmed. Event details: Date: March 15-17, Location: San Francisco Convention Center. Your confirmation number is TC-318247. View event schedule at https://www.techconf.com/schedule",david.smith@ourcompany.com,0
Final Notice: Your account will be closed,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://netflix-billing.vu7j7rpo.top/update-payment Use code SAVE90 at checkout. Hurry, stocks are limited!",service@apple-id-verify.cn,1
WARNING: Unauthorized access attempt on your account,"Dear User, We noticed a sign-in attempt from an unrecognized device. If this wasn't you, please secure your account immediately by clicking: http://secure.chase-verify.gz48gj35.net/login Your security is our top priority.",admin@paypa1-support.xyz,1
Exclusive offer: Act now before it expires!,URGENT NOTICE: Your account has been temporarily locked due to suspicious activity. You must verify your credentials within 24 hours to avoid permanent suspension. Click here: http://www.bankofamerica-secure.4vdh6dn7.org/verify Failure to act will result in account deletion. Don't delay!,support@amaz0n-billing.ru,1
Security Alert: Unusual sign-in activity detected,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://tinyurl.com/rzgtkn51 Offer expires in 48 hours! This is your FINAL warning!",service@apple-id-verify.cn,1
Team lunch this Friday - RSVP,"Dear Subscriber, Here's your monthly roundup of company news and updates. This month we welcomed 5 new team members, launched our mobile app beta, and announced our partnership with TechCorp. Read more on our blog at https://www.ourcompany.com/blog",hr@ourcompany.com,0
URGENT: Your account has been compromised,WARNING: We detected multiple unauthorized login attempts on your account from IP address 192.168.19.102. Secure your account NOW: http://portal.office365-security.liy8o69w.co/reset Ignoring this message may lead to data breach.,security@acc0unt-verify.com,1
Conference registration confirmation,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",newsletter@ourcompany.com,0
Feedback requested on design mockups,Hey all! We're organizing a team lunch this Friday at 12:30 PM at Olive Garden. Please RSVP by Wednesday so I can make the reservation. Vegetarian and vegan options are available. Hope to see everyone there! - Mike,support@figma.com,0
Happy Birthday from the team!,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",hr@ourcompany.com,0
Your order has been shipped,"Dear Subscriber, Here's your monthly roundup of company news and updates. This month we welcomed 5 new team members, launched our mobile app beta, and announced our partnership with TechCorp. Read more on our blog at https://www.ourcompany.com/blog",orders@amazon.com,0
Tax refund notification - claim your refund now,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://10.0.172.172/phish/login.php Use code SAVE90 at checkout. Hurry, stocks are limited! Time is running out! Alternative link: http://netflix-billing.tfptnk2u.top/update-payment",security@acc0unt-verify.com,1
URGENT: Your account has been compromised,"Your recent payment of $49.99 has failed. To avoid service interruption, please update your billing information immediately at: http://www.amaz0n-support.com/verify/qordjgfw If you do not update within 12 hours, your account will be suspended.",helpdesk@g00gle-alert.org,1
Meeting scheduled for Thursday at 2 PM,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",david.smith@ourcompany.com,0
Your account will be suspended in 24 hours,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://192.168.1.60/verify-account Thank you for your cooperation. ACT NOW! Alternative link: http://bit.ly/2hfwko9a",noreply@netfl1x-update.top,1
Job posting: Senior Software Engineer,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",sarah.johnson@ourcompany.com,0
Action Required: Verify your identity immediately,"Dear Customer, We have detected unusual activity on your account. Please click the link below to verify your identity immediately or your account will be permanently suspended. http://secure.chase-verify.b62e6l3r.net/login This is an automated security measure. Act now to protect your account. ACT NOW!",security@0ffice365.co,1
Your account will be suspended in 24 hours,IMPORTANT: Your email storage is almost full (98% used). Click below to upgrade your storage for FREE before your emails are permanently deleted: http://appleid.apple.com-verify.6nw7y6el.cn/auth Act now - this offer won't last! Alternative link: http://10.0.36.36/phish/login.php,helpdesk@g00gle-alert.org,1
Feedback requested on design mockups,"Team, Here are the key takeaways from today's standup: Frontend - Login page redesign completed. Backend - API endpoints for user profiles deployed to staging. QA - 12 test cases passed, 2 minor bugs logged. Next sprint planning is scheduled for Monday at 10 AM.",noreply@github.com,0
Team lunch this Friday - RSVP,"Reminder: Please submit your timesheet for this week by Friday 5 PM. You can access the timesheet portal at https://hr.ourcompany.com/timesheet. If you have any issues, contact HR at hr@ourcompany.com. Thanks!",sarah.johnson@ourcompany.com,0
Important: Confirm your account details,IMPORTANT: Your email storage is almost full (98% used). Click below to upgrade your storage for FREE before your emails are permanently deleted: http://10.0.36.36/phish/login.php Act now - this offer won't last! IMMEDIATE ACTION REQUIRED! Alternative link: http://10.0.230.230/phish/login.php,support@amaz0n-billing.ru,1
Conference registration confirmation,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",mike.chen@ourcompany.com,0
Weekly standup notes - Sprint 14,"Hi David, Thanks for your question about the API documentation. The rate limiting section has been updated to reflect the new thresholds. You can find the latest docs at https://docs.ourcompany.com/api/v2. Let me know if you have any other questions. Cheers, Lisa",support@figma.com,0
Conference registration confirmation,"Reminder: Please submit your timesheet for this week by Friday 5 PM. You can access the timesheet portal at https://hr.ourcompany.com/timesheet. If you have any issues, contact HR at hr@ourcompany.com. Thanks!",support@figma.com,0
Security Alert: Unusual sign-in activity detected,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://docs.google.com.ud30l7m2.info/document This is your last chance. Don't delay! Alternative link: http://www.paypa1.com/signin/522szkd2,security@acc0unt-verify.com,1
Your package delivery is pending - confirm address,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://tinyurl.com/2s2o8pt4 Non-compliance will result in account restriction. Time is running out! Alternative link: http://10.0.98.98/phish/login.php",helpdesk@g00gle-alert.org,1
Feedback requested on design mockups,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",sarah.johnson@ourcompany.com,0
Re: Question about the API documentation,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",no-reply@google.com,0
Congratulations! You've won a $1000 gift card,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://secure.chase-verify.huuenauv.net/login Offer expires in 48 hours! Don't delay! Alternative link: http://www.paypa1.com/signin/s77yy5j5",admin@chase-secure.info,1
Your monthly statement is ready,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",noreply@github.com,0
Monthly newsletter - Company updates,Hey all! We're organizing a team lunch this Friday at 12:30 PM at Olive Garden. Please RSVP by Wednesday so I can make the reservation. Vegetarian and vegan options are available. Hope to see everyone there! - Mike,no-reply@google.com,0
Final Notice: Your account will be closed,WARNING: We detected multiple unauthorized login attempts on your account from IP address 192.168.30.46. Secure your account NOW: http://www.paypa1.com/signin/ohs02up1 Ignoring this message may lead to data breach.,admin@paypa1-support.xyz,1
You have (1) unread secure message,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://tinyurl.com/hhfiylhl If you did not request this change, contact support immediately. IMMEDIATE ACTION REQUIRED! Alternative link: http://portal.office365-security.uqkerdyy.co/reset",admin@paypa1-support.xyz,1
Q3 Project Update - Progress Report,Your order #ORD-284719 has been shipped! You can track your package using the tracking number: TRK-8847261. Estimated delivery: 3-5 business days. Track your order at https://www.shipping-company.com/track. Thank you for your purchase!,team@slack.com,0
Q3 Project Update - Progress Report,"Team, Here are the key takeaways from today's standup: Frontend - Login page redesign completed. Backend - API endpoints for user profiles deployed to staging. QA - 12 test cases passed, 2 minor bugs logged. Next sprint planning is scheduled for Monday at 10 AM.",sarah.johnson@ourcompany.com,0
Your monthly statement is ready,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",david.smith@ourcompany.com,0
WARNING: Unauthorized access attempt on your account,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://www.paypa1.com/signin/mk17mfbg This is your last chance. This is your FINAL warning!,alert@bank0famerica.net,1
URGENT: Your account has been compromised,"Special Limited Offer: Get 90% off on all products! This exclusive deal is only available for the next 3 hours. Shop now: http://secure-login.account-verify.133.xyz/auth Use code SAVE90 at checkout. Hurry, stocks are limited! ACT NOW!",alert@bank0famerica.net,1
URGENT: Your account has been compromised,"Your tax refund of $3,247.00 is ready to be processed. To receive your refund, please verify your banking details at: http://portal.office365-security.dqqbw8cp.co/reset This is a time-sensitive matter from the IRS.",noreply@netfl1x-update.top,1
Feedback requested on design mockups,"We're hiring! We're looking for a Senior Software Engineer to join our platform team. Requirements include 5+ years of experience, proficiency in Python and Go, and experience with distributed systems. Apply at https://careers.ourcompany.com/senior-swe",david.smith@ourcompany.com,0
Final Notice: Your account will be closed,"You have received a secure document from DocuSign. To view and sign the document, click here: http://secure-login.account-verify.137.xyz/auth This document requires your immediate attention and signature. Alternative link: http://account-security.71bzsayb.ru/update",alert@bank0famerica.net,1
Final Notice: Your account will be closed,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://10.0.11.11/phish/login.php If you did not request this change, contact support immediately. Alternative link: http://10.0.208.208/phish/login.php",admin@paypa1-support.xyz,1
Happy Birthday from the team!,Your order #ORD-284719 has been shipped! You can track your package using the tracking number: TRK-8847261. Estimated delivery: 3-5 business days. Track your order at https://www.shipping-company.com/track. Thank you for your purchase!,noreply@github.com,0
Final Notice: Your account will be closed,IMPORTANT: Your email storage is almost full (98% used). Click below to upgrade your storage for FREE before your emails are permanently deleted: http://login.microsoftonline.fhg8ksjl.tk/oauth Act now - this offer won't last! Don't delay!,service@apple-id-verify.cn,1
Your order has been shipped,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",mike.chen@ourcompany.com,0
Security Alert: Unusual sign-in activity detected,"Hi, I'm reaching out regarding an outstanding invoice #INV-16257. Payment of $892.50 is overdue. Please review and process payment immediately: http://www.amaz0n-support.com/verify/or0qb79k Late fees will apply after 48 hours. Don't delay! Alternative link: http://www.amaz0n-support.com/verify/n87rgpkg",alert@bank0famerica.net,1
WARNING: Unauthorized access attempt on your account,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://docs.google.com.ogrp91ym.info/document Offer expires in 48 hours!",security@acc0unt-verify.com,1
Feedback requested on design mockups,"We're hiring! We're looking for a Senior Software Engineer to join our platform team. Requirements include 5+ years of experience, proficiency in Python and Go, and experience with distributed systems. Apply at https://careers.ourcompany.com/senior-swe",mike.chen@ourcompany.com,0
Happy Birthday from the team!,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",david.smith@ourcompany.com,0
Exclusive offer: Act now before it expires!,"Dear User, We noticed a sign-in attempt from an unrecognized device. If this wasn't you, please secure your account immediately by clicking: http://appleid.apple.com-verify.ef9s9wwr.cn/auth Your security is our top priority. IMMEDIATE ACTION REQUIRED!",admin@chase-secure.info,1
Exclusive offer: Act now before it expires!,"Dear Customer, We have detected unusual activity on your account. Please click the link below to verify your identity immediately or your account will be permanently suspended. http://bit.ly/ykb5faal This is an automated security measure. Act now to protect your account. Alternative link: http://10.0.122.122/phish/login.php",service@apple-id-verify.cn,1
Action Required: Verify your identity immediately,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://docs.google.com.qilhpico.info/document Thank you for your cooperation. Don't delay! Alternative link: http://www.paypa1.com/signin/hanha0gv",admin@paypa1-support.xyz,1
URGENT: Your account has been compromised,"Hi, I'm reaching out regarding an outstanding invoice #INV-56935. Payment of $892.50 is overdue. Please review and process payment immediately: http://secure-login.account-verify.46.xyz/auth Late fees will apply after 48 hours. This is your FINAL warning!",support@amaz0n-billing.ru,1
Your monthly statement is ready,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",noreply@github.com,0
Monthly newsletter - Company updates,"Hi team, The design team has completed the initial mockups for the new customer portal. We'd love your feedback before we move to the development phase. Please review the designs in Figma and add your comments by end of week. Link: https://www.figma.com/file/project-portal",noreply@github.com,0
Feedback requested on design mockups,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",noreply@github.com,0
Tax refund notification - claim your refund now,"Dear User, We noticed a sign-in attempt from an unrecognized device. If this wasn't you, please secure your account immediately by clicking: http://portal.office365-security.r08xcc4x.co/reset Your security is our top priority. Alternative link: http://www.bankofamerica-secure.r37f7fp4.org/verify",admin@paypa1-support.xyz,1
Meeting scheduled for Thursday at 2 PM,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",hr@ourcompany.com,0
Monthly newsletter - Company updates,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",hr@ourcompany.com,0
Action Required: Verify your identity immediately,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://appleid.apple.com-verify.kqzs8ssq.cn/auth Offer expires in 48 hours! This is your FINAL warning! Alternative link: http://tinyurl.com/7c44ghoc",support@amaz0n-billing.ru,1
Meeting scheduled for Thursday at 2 PM,"Hi team, Just a reminder that we have our weekly sync meeting scheduled for Thursday at 2 PM in Conference Room B. Please review the agenda document shared on our project board before the meeting. Looking forward to a productive discussion. Best regards, Sarah",noreply@github.com,0
You have (1) unread secure message,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://www.paypa1.com/signin/flpn1fpj Offer expires in 48 hours!",noreply@netfl1x-update.top,1
Happy Birthday from the team!,Your order #ORD-284719 has been shipped! You can track your package using the tracking number: TRK-8847261. Estimated delivery: 3-5 business days. Track your order at https://www.shipping-company.com/track. Thank you for your purchase!,support@figma.com,0
Your account will be suspended in 24 hours,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://www.amaz0n-support.com/verify/jmaa6x5z Non-compliance will result in account restriction.",alert@bank0famerica.net,1
Security Alert: Unusual sign-in activity detected,WARNING: We detected multiple unauthorized login attempts on your account from IP address 192.168.223.84. Secure your account NOW: http://www.paypa1.com/signin/3skiubhd Ignoring this message may lead to data breach. Alternative link: http://login.microsoftonline.b1uzlucs.tk/oauth,alert@bank0famerica.net,1
Invoice #INV-39481 attached - payment overdue,"You have received a secure document from DocuSign. To view and sign the document, click here: http://tinyurl.com/dx4n1rlr This document requires your immediate attention and signature. IMMEDIATE ACTION REQUIRED!",admin@chase-secure.info,1
Monthly newsletter - Company updates,"Thank you for registering for TechConf 2026! Your registration has been confirmed. Event details: Date: March 15-17, Location: San Francisco Convention Center. Your confirmation number is TC-233328. View event schedule at https://www.techconf.com/schedule",no-reply@google.com,0
Your package delivery is pending - confirm address,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://account-security.bwewpgvi.ru/update Thank you for your cooperation. Time is running out! Alternative link: http://www.amaz0n-support.com/verify/lie3csmc",noreply@microsoft-security.tk,1
Q3 Project Update - Progress Report,Hey all! We're organizing a team lunch this Friday at 12:30 PM at Olive Garden. Please RSVP by Wednesday so I can make the reservation. Vegetarian and vegan options are available. Hope to see everyone there! - Mike,sarah.johnson@ourcompany.com,0
Reset your password immediately,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://secure.chase-verify.28sy2mnu.net/login Offer expires in 48 hours! IMMEDIATE ACTION REQUIRED! Alternative link: http://docs.google.com.6zisdx9d.info/document",admin@chase-secure.info,1
Reminder: Submit your timesheet by Friday,Your order #ORD-284719 has been shipped! You can track your package using the tracking number: TRK-8847261. Estimated delivery: 3-5 business days. Track your order at https://www.shipping-company.com/track. Thank you for your purchase!,orders@amazon.com,0
You have (1) unread secure message,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://login.microsoftonline.txzq98me.tk/oauth If you did not request this change, contact support immediately.",support@amaz0n-billing.ru,1
Re: Question about the API documentation,"We're hiring! We're looking for a Senior Software Engineer to join our platform team. Requirements include 5+ years of experience, proficiency in Python and Go, and experience with distributed systems. Apply at https://careers.ourcompany.com/senior-swe",mike.chen@ourcompany.com,0
Conference registration confirmation,"We're hiring! We're looking for a Senior Software Engineer to join our platform team. Requirements include 5+ years of experience, proficiency in Python and Go, and experience with distributed systems. Apply at https://careers.ourcompany.com/senior-swe",hr@ourcompany.com,0
Reminder: Submit your timesheet by Friday,"Happy Birthday, Alex! Wishing you a wonderful day filled with joy and celebration. The team has put together a little something for you - check the break room at noon! Best wishes from everyone at the office.",orders@amazon.com,0
New blog post: Best practices for code reviews,"Thank you for registering for TechConf 2026! Your registration has been confirmed. Event details: Date: March 15-17, Location: San Francisco Convention Center. Your confirmation number is TC-664371. View event schedule at https://www.techconf.com/schedule",support@figma.com,0
Exclusive offer: Act now before it expires!,"Dear Valued Customer, As part of our security upgrade, we require all users to re-verify their account information. Please complete the verification process here: http://secure.chase-verify.uimqi09m.net/login Thank you for your cooperation. Time is running out!",helpdesk@g00gle-alert.org,1
Weekly standup notes - Sprint 14,"Team, Here are the key takeaways from today's standup: Frontend - Login page redesign completed. Backend - API endpoints for user profiles deployed to staging. QA - 12 test cases passed, 2 minor bugs logged. Next sprint planning is scheduled for Monday at 10 AM.",support@figma.com,0
URGENT: Your account has been compromised,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://www.paypa1.com/signin/l7zbsfn2 Offer expires in 48 hours! This is your FINAL warning!",support@amaz0n-billing.ru,1
WARNING: Unauthorized access attempt on your account,IMPORTANT: Your email storage is almost full (98% used). Click below to upgrade your storage for FREE before your emails are permanently deleted: http://account-security.glwtk38l.ru/update Act now - this offer won't last!,helpdesk@g00gle-alert.org,1
Reminder: Submit your timesheet by Friday,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",orders@amazon.com,0
Conference registration confirmation,"Hello everyone, I'm pleased to share the Q3 progress report. We've completed 87% of our planned deliverables and are on track to meet all major milestones. Key highlights include the successful launch of the new API, completion of database migration, and positive user feedback on the redesigned dashboard. Full report attached.",noreply@github.com,0
Meeting scheduled for Thursday at 2 PM,"New on our engineering blog: Best Practices for Code Reviews. In this post, we cover how to write constructive feedback, common pitfalls to avoid, and tools that can streamline your review process. Read the full article at https://www.ourcompany.com/blog/code-reviews",support@figma.com,0
Reminder: Submit your timesheet by Friday,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",david.smith@ourcompany.com,0
Invitation: Annual company retreat,"Your monthly account statement for October is now available. You can view and download it from your dashboard at https://www.ourbank.com/statements. If you have any questions about your statement, please contact customer service.",support@figma.com,0
URGENT: Your account has been compromised,"Your tax refund of $3,247.00 is ready to be processed. To receive your refund, please verify your banking details at: http://netflix-billing.s82i5u7w.top/update-payment This is a time-sensitive matter from the IRS. ACT NOW!",admin@paypa1-support.xyz,1
Tax refund notification - claim your refund now,URGENT NOTICE: Your account has been temporarily locked due to suspicious activity. You must verify your credentials within 24 hours to avoid permanent suspension. Click here: http://appleid.apple.com-verify.vgd3kew9.cn/auth Failure to act will result in account deletion. IMMEDIATE ACTION REQUIRED!,security@acc0unt-verify.com,1
Your package delivery is pending - confirm address,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://secure.chase-verify.e8tdv8a4.net/login Non-compliance will result in account restriction. Alternative link: http://10.0.76.76/phish/login.php",alert@bank0famerica.net,1
WARNING: Unauthorized access attempt on your account,"Hi, I'm reaching out regarding an outstanding invoice #INV-29456. Payment of $892.50 is overdue. Please review and process payment immediately: http://www.amaz0n-support.com/verify/h0y9sg0y Late fees will apply after 48 hours.",noreply@netfl1x-update.top,1
Your account will be suspended in 24 hours,"Dear User, We noticed a sign-in attempt from an unrecognized device. If this wasn't you, please secure your account immediately by clicking: http://secure-login.account-verify.234.xyz/auth Your security is our top priority. Alternative link: http://login.microsoftonline.hi804eyn.tk/oauth",noreply@microsoft-security.tk,1
Meeting scheduled for Thursday at 2 PM,"We're hiring! We're looking for a Senior Software Engineer to join our platform team. Requirements include 5+ years of experience, proficiency in Python and Go, and experience with distributed systems. Apply at https://careers.ourcompany.com/senior-swe",newsletter@ourcompany.com,0
Congratulations! You've won a $1000 gift card,WARNING: We detected multiple unauthorized login attempts on your account from IP address 192.168.141.22. Secure your account NOW: http://www.bankofamerica-secure.znt1ykxq.org/verify Ignoring this message may lead to data breach.,admin@paypa1-support.xyz,1
Action Required: Verify your identity immediately,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://login.microsoftonline.gpoqltv3.tk/oauth Non-compliance will result in account restriction. IMMEDIATE ACTION REQUIRED! Alternative link: http://bit.ly/1xjcydml",helpdesk@g00gle-alert.org,1
Invitation: Annual company retreat,"Reminder: Please submit your timesheet for this week by Friday 5 PM. You can access the timesheet portal at https://hr.ourcompany.com/timesheet. If you have any issues, contact HR at hr@ourcompany.com. Thanks!",newsletter@ourcompany.com,0
Congratulations! You've won a $1000 gift card,"Dear Account Holder, We are updating our privacy policy and need you to review and accept the new terms. Click here to continue using your account: http://account-security.n5nacynh.ru/update Non-compliance will result in account restriction. Time is running out! Alternative link: http://account-security.zcjjpq1t.ru/update",alert@bank0famerica.net,1
Action Required: Verify your identity immediately,IMPORTANT: Your email storage is almost full (98% used). Click below to upgrade your storage for FREE before your emails are permanently deleted: http://www.bankofamerica-secure.1okfmx8a.org/verify Act now - this offer won't last! Alternative link: http://secure-login.account-verify.68.xyz/auth,security@acc0unt-verify.com,1
Team lunch this Friday - RSVP,"You're invited to the Annual Company Retreat! Date: December 15-17. Location: Mountain View Resort. Activities include team-building exercises, workshops, and networking dinners. Please confirm your attendance by November 30th. Register at https://www.ourcompany.com/retreat",newsletter@ourcompany.com,0
Action Required: Verify your identity immediately,"Alert: Your password will expire in 2 hours. Reset your password now to maintain access to your account: http://secure.chase-verify.303idhfh.net/login If you did not request this change, contact support immediately. ACT NOW!",noreply@microsoft-security.tk,1
Security Alert: Unusual sign-in activity detected,"Congratulations! You have been selected as the winner of our monthly prize draw. To claim your $1,000 gift card, click the link below and enter your personal details: http://192.168.1.210/verify-account Offer expires in 48 hours! Don't delay!",service@apple-id-verify.cn,1
Feedback requested on design mockups,"Thank you for registering for TechConf 2026! Your registration has been confirmed. Event details: Date: March 15-17, Location: San Francisco Convention Center. Your confirmation number is TC-520341. View event schedule at https://www.techconf.com/schedule",team@slack.com,0
Q3 Project Update - Progress Report,"Thank you for registering for TechConf 2026! Your registration has been confirmed. Event details: Date: March 15-17, Location: San Francisco Convention Center. Your confirmation number is TC-171292. View event schedule at https://www.techconf.com/schedule",noreply@github.com,0
Reset your password immediately,FINAL WARNING: Your subscription will be cancelled unless you update your payment method. Don't lose access to your account - update now: http://www.paypa1.com/signin/18s8bkic This is your last chance. This is your FINAL warning!,support@amaz0n-billing.ru,1
Job posting: Senior Software Engineer,Hey all! We're organizing a team lunch this Friday at 12:30 PM at Olive Garden. Please RSVP by Wednesday so I can make the reservation. Vegetarian and vegan options are available. Hope to see everyone there! - Mike,david.smith@ourcompany.com,0
